FID,FID_1,OBJECTID,Id,gridcode,area,perimeter,iso,ORIG_FID,FID_2,MUNI_NUM,MUNI_NAME,MUNI_TYPE,MUNI_NAME_,GOVT_JURIS,COUNTY_NAM,STATE_NAME,STATE_ABBR,FIPS_STATE,FIPS_COUNT,FIPS_MUNI,FIPS_CODE_,SHAPE_AREA,SHAPE_LEN
11342,11071,48749,48749,1,202387,2829,0.317780016000000,11071,63,69,East Nottingham,Township,East Nottingham Township,Municipality,Chester,Pennsylvania,PA,42,029,21624,4202921624,561622432.148000001907349,141036.482856999995420
11343,11076,48763,48763,1,3766,264,0.679019624000000,11076,63,69,East Nottingham,Township,East Nottingham Township,Municipality,Chester,Pennsylvania,PA,42,029,21624,4202921624,561622432.148000001907349,141036.482856999995420
11344,11079,48781,48781,1,1800,180,0.698131701000000,11079,63,69,East Nottingham,Township,East Nottingham Township,Municipality,Chester,Pennsylvania,PA,42,029,21624,4202921624,561622432.148000001907349,141036.482856999995420
11345,11084,48796,48796,1,6729,386,0.567526027000000,11084,63,69,East Nottingham,Township,East Nottingham Township,Municipality,Chester,Pennsylvania,PA,42,029,21624,4202921624,561622432.148000001907349,141036.482856999995420
11346,11085,48798,48798,1,10465,499,0.528138716000000,11085,63,69,East Nottingham,Township,East Nottingham Township,Municipality,Chester,Pennsylvania,PA,42,029,21624,4202921624,561622432.148000001907349,141036.482856999995420
11347,11086,48799,48799,1,1215,170,0.528309353000000,11086,63,69,East Nottingham,Township,East Nottingham Township,Municipality,Chester,Pennsylvania,PA,42,029,21624,4202921624,561622432.148000001907349,141036.482856999995420
11348,11092,48832,48832,1,576,112,0.577027222000000,11092,63,69,East Nottingham,Township,East Nottingham Township,Municipality,Chester,Pennsylvania,PA,42,029,21624,4202921624,561622432.148000001907349,141036.482856999995420
11349,11093,48837,48837,1,176237,2802,0.282078960000000,11093,63,69,East Nottingham,Township,East Nottingham Township,Municipality,Chester,Pennsylvania,PA,42,029,21624,4202921624,561622432.148000001907349,141036.482856999995420
11350,11096,48850,48850,1,14524,709,0.363081093000000,11096,63,69,East Nottingham,Township,East Nottingham Township,Municipality,Chester,Pennsylvania,PA,42,029,21624,4202921624,561622432.148000001907349,141036.482856999995420
11351,11098,48866,48866,1,15473,563,0.613433656000000,11098,63,69,East Nottingham,Township,East Nottingham Township,Municipality,Chester,Pennsylvania,PA,42,029,21624,4202921624,561622432.148000001907349,141036.482856999995420
11352,11101,48885,48885,1,2132,213,0.590524414000000,11101,63,69,East Nottingham,Township,East Nottingham Township,Municipality,Chester,Pennsylvania,PA,42,029,21624,4202921624,561622432.148000001907349,141036.482856999995420
11353,11103,48888,48888,1,19540,604,0.673070484000000,11103,63,69,East Nottingham,Township,East Nottingham Township,Municipality,Chester,Pennsylvania,PA,42,029,21624,4202921624,561622432.148000001907349,141036.482856999995420
11354,11106,48906,48906,1,900,120,0.785398163000000,11106,63,69,East Nottingham,Township,East Nottingham Township,Municipality,Chester,Pennsylvania,PA,42,029,21624,4202921624,561622432.148000001907349,141036.482856999995420
11355,11107,48913,48913,1,1215,170,0.528309353000000,11107,63,69,East Nottingham,Township,East Nottingham Township,Municipality,Chester,Pennsylvania,PA,42,029,21624,4202921624,561622432.148000001907349,141036.482856999995420
11356,11109,48932,48932,1,11353,478,0.624402608000000,11109,63,69,East Nottingham,Township,East Nottingham Township,Municipality,Chester,Pennsylvania,PA,42,029,21624,4202921624,561622432.148000001907349,141036.482856999995420
11357,11116,48961,48961,1,900,120,0.785398163000000,11116,63,69,East Nottingham,Township,East Nottingham Township,Municipality,Chester,Pennsylvania,PA,42,029,21624,4202921624,561622432.148000001907349,141036.482856999995420
11358,11120,48982,48982,1,187743,2412,0.405526286000000,11120,63,69,East Nottingham,Township,East Nottingham Township,Municipality,Chester,Pennsylvania,PA,42,029,21624,4202921624,561622432.148000001907349,141036.482856999995420
11359,11132,49050,49050,1,51804,1167,0.478003907000000,11132,63,69,East Nottingham,Township,East Nottingham Township,Municipality,Chester,Pennsylvania,PA,42,029,21624,4202921624,561622432.148000001907349,141036.482856999995420
11360,11133,49052,49052,1,756277,6591,0.218770185000000,11133,63,69,East Nottingham,Township,East Nottingham Township,Municipality,Chester,Pennsylvania,PA,42,029,21624,4202921624,561622432.148000001907349,141036.482856999995420
11361,11138,49076,49076,1,6764,431,0.457571454000000,11138,63,69,East Nottingham,Township,East Nottingham Township,Municipality,Chester,Pennsylvania,PA,42,029,21624,4202921624,561622432.148000001907349,141036.482856999995420
11362,11141,49093,49093,1,576,112,0.577027222000000,11141,63,69,East Nottingham,Township,East Nottingham Township,Municipality,Chester,Pennsylvania,PA,42,029,21624,4202921624,561622432.148000001907349,141036.482856999995420
11363,11142,49094,49094,1,900,120,0.785398163000000,11142,63,69,East Nottingham,Township,East Nottingham Township,Municipality,Chester,Pennsylvania,PA,42,029,21624,4202921624,561622432.148000001907349,141036.482856999995420
11364,11148,49117,49117,1,29022,1203,0.252003137000000,11148,63,69,East Nottingham,Township,East Nottingham Township,Municipality,Chester,Pennsylvania,PA,42,029,21624,4202921624,561622432.148000001907349,141036.482856999995420
11365,11151,49134,49134,1,576,112,0.577027222000000,11151,63,69,East Nottingham,Township,East Nottingham Township,Municipality,Chester,Pennsylvania,PA,42,029,21624,4202921624,561622432.148000001907349,141036.482856999995420
11366,11152,49136,49136,1,1256,163,0.594051771000000,11152,63,69,East Nottingham,Township,East Nottingham Township,Municipality,Chester,Pennsylvania,PA,42,029,21624,4202921624,561622432.148000001907349,141036.482856999995420
11367,11155,49158,49158,1,1256,163,0.594051771000000,11155,63,69,East Nottingham,Township,East Nottingham Township,Municipality,Chester,Pennsylvania,PA,42,029,21624,4202921624,561622432.148000001907349,141036.482856999995420
11368,11158,49174,49174,1,576,112,0.577027222000000,11158,63,69,East Nottingham,Township,East Nottingham Township,Municipality,Chester,Pennsylvania,PA,42,029,21624,4202921624,561622432.148000001907349,141036.482856999995420
11369,11159,49175,49175,1,1394,168,0.620660453000000,11159,63,69,East Nottingham,Township,East Nottingham Township,Municipality,Chester,Pennsylvania,PA,42,029,21624,4202921624,561622432.148000001907349,141036.482856999995420
11370,11164,49208,49208,1,253327,3069,0.337985110000000,11164,63,69,East Nottingham,Township,East Nottingham Township,Municipality,Chester,Pennsylvania,PA,42,029,21624,4202921624,561622432.148000001907349,141036.482856999995420
11371,11168,49222,49222,1,5197,393,0.422841379000000,11168,63,69,East Nottingham,Township,East Nottingham Township,Municipality,Chester,Pennsylvania,PA,42,029,21624,4202921624,561622432.148000001907349,141036.482856999995420
11372,11169,49223,49223,1,616,113,0.606224786000000,11169,63,69,East Nottingham,Township,East Nottingham Township,Municipality,Chester,Pennsylvania,PA,42,029,21624,4202921624,561622432.148000001907349,141036.482856999995420
11373,11172,49236,49236,1,576,112,0.577027222000000,11172,63,69,East Nottingham,Township,East Nottingham Township,Municipality,Chester,Pennsylvania,PA,42,029,21624,4202921624,561622432.148000001907349,141036.482856999995420
11374,11173,49239,49239,1,1215,170,0.528309353000000,11173,63,69,East Nottingham,Township,East Nottingham Township,Municipality,Chester,Pennsylvania,PA,42,029,21624,4202921624,561622432.148000001907349,141036.482856999995420
